PRODUCT_CATEGORY,PRODUCT_TYPE,PRODUCT_DETAIL,STORE_LOCATION,NUMBER_OR_ROWS,NUMBER_OF_SALES,NUMBER_OF_UNITS_SOLD,REVENUE_PER_TRANSACTION,TOTAL_REVENUE,MONTH_ID,MONTH_NAME,DAY_NAME,TIME_BUCKET,SPEND_TREND
Packaged Chocolate,Drinking Chocolate,Dark chocolate,Lower Manhattan,2,2,2,12.80,12.80,202305,May,Fri,Morning,Low
Coffee,Barista Espresso,Ouro Brasileiro shot,Lower Manhattan,8,8,15,40.50,40.50,202305,May,Sun,Morning,High
Bakery,Scone,Scottish Cream Scone ,Lower Manhattan,6,6,6,27.00,27.00,202305,May,Sun,Morning,Low
Packaged Chocolate,Drinking Chocolate,Chili Mayan,Lower Manhattan,3,3,3,39.99,39.99,202305,May,Sun,Morning,High
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Lower Manhattan,1,1,1,3.10,3.10,202305,May,Sat,Evening,Low
Tea,Brewed Black tea,English Breakfast Rg,Lower Manhattan,3,3,6,15.00,15.00,202305,May,Sat,Evening,Low
Loose Tea,Black tea,Earl Grey,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Sat,Evening,Low
Loose Tea,Herbal tea,Lemon Grass,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Sun,Morning,Low
Bakery,Pastry,Chocolate Croissant,Lower Manhattan,6,6,6,22.50,22.50,202305,May,Fri,Afternoon,Low
Flavours,Regular syrup,Carmel syrup,Lower Manhattan,7,7,13,10.40,10.40,202305,May,Fri,Afternoon,Low
Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,Lower Manhattan,2,2,2,15.20,15.20,202305,May,Fri,Morning,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,12,12,19,15.20,15.20,202305,May,Fri,Morning,Low
Loose Tea,Green tea,Serenity Green Tea,Lower Manhattan,1,1,1,9.25,9.25,202305,May,Fri,Morning,Low
Coffee beans,Premium Beans,Jamacian Coffee River,Lower Manhattan,2,2,2,39.50,39.50,202305,May,Fri,Morning,High
Flavours,Regular syrup,Carmel syrup,Lower Manhattan,15,15,25,20.00,20.00,202305,May,Fri,Morning,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Lower Manhattan,16,16,24,96.00,96.00,202305,May,Fri,Morning,High
Branded,Housewares,I Need My Bean! Diner mug,Lower Manhattan,3,3,3,36.00,36.00,202305,May,Sun,Morning,High
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,18,18,36,28.80,28.80,202305,May,Fri,Morning,Low
Branded,Housewares,I Need My Bean! Latte cup,Lower Manhattan,2,2,2,28.00,28.00,202305,May,Sat,Morning,Low
Tea,Brewed Black tea,Earl Grey Lg,Lower Manhattan,3,3,6,18.00,18.00,202305,May,Thu,Evening,Low
Bakery,Scone,Scottish Cream Scone ,Lower Manhattan,3,3,3,13.50,13.50,202305,May,Thu,Evening,Low
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Lower Manhattan,2,2,3,9.00,9.00,202305,May,Thu,Evening,Low
Bakery,Scone,Ginger Scone,Lower Manhattan,1,1,1,3.25,3.25,202305,May,Thu,Evening,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,1,1,2,1.60,1.60,202305,May,Thu,Evening,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Lower Manhattan,5,5,11,27.50,27.50,202305,May,Thu,Evening,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,6,6,11,8.80,8.80,202305,May,Thu,Evening,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,5,5,8,6.40,6.40,202305,May,Thu,Afternoon,Low
Bakery,Pastry,Croissant,Lower Manhattan,3,3,3,10.50,10.50,202305,May,Thu,Afternoon,Low
Loose Tea,Green tea,Serenity Green Tea,Lower Manhattan,1,1,1,9.25,9.25,202305,May,Thu,Afternoon,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,6,6,10,8.00,8.00,202305,May,Thu,Afternoon,Low
